pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
WR,757,73.50%,0,0%,5,1.13%,LaFeBr00,Brandon LaFell,car
WR,911,88.45%,0,0%,6,1.35%,SmitSt01,Steve Smith Sr.,car
WR,668,64.85%,0,0%,6,1.35%,MurpLo00,Louis Murphy,car
WR,33,3.20%,0,0%,102,22.97%,PilaKe00,Kealoha Pilares,car
WR,15,1.46%,0,0%,0,0%,GettDa00,David Gettis,car
WR,22,2.14%,0,0%,45,10.14%,AdamJo01,Joe Adams,car
WR,128,12.43%,0,0%,32,7.21%,EdwaAr00,Armanti Edwards,car
TE,1007,97.77%,0,0%,5,1.13%,OlseGr00,Greg Olsen,car
TE,203,19.71%,0,0%,134,30.18%,HartBe00,Ben Hartsock,car
TE,138,13.40%,0,0%,233,52.48%,BarnGa01,Gary Barnidge,car
T,945,91.75%,0,0%,61,13.74%,BellBy00,Byron Bell,car
T,1026,99.61%,0,0%,65,14.64%,GrosJo20,Jordan Gross,car
T,31,3.01%,0,0%,0,0%,BridJe20,Jeremy Bridges,car
T,608,59.03%,0,0%,53,11.94%,WillGa23,Garry Williams,car
T,34,3.30%,0,0%,9,2.03%,CampBr20,Bruce Campbell,car
G,884,85.83%,0,0%,51,11.49%,SilaAm00,Amini Silatolu,car
G,0,0%,0,0%,7,1.58%,PollMi20,Mike Pollak,car
G,125,12.14%,0,0%,12,2.70%,AustTh00,Thomas Austin,car
G,0,0%,0,0%,1,.23%,WillZa01,Zack Williams,car
C,757,73.50%,0,0%,45,10.14%,HangGe20,Geoff Hangartner,car
C,286,27.77%,0,0%,0,0%,KaliRy20,Ryan Kalil,car
C,471,45.73%,2,.19%,43,9.68%,ByerJe00,Jeff Byers,car
DE,0,0%,749,71.27%,80,18.02%,HardGr99,Greg Hardy,car
DE,0,0%,833,79.26%,81,18.24%,JohnCh98,Charles Johnson,car
DE,0,0%,552,52.52%,44,9.91%,AlexFr00,Frank Alexander,car
DE,0,0%,52,4.95%,32,7.21%,AddiMa00,Mario Addison,car
DT,0,0%,704,66.98%,84,18.92%,EdwaDw20,Dwan Edwards,car
DT,0,0%,157,14.94%,24,5.41%,KearFr00,Frank Kearse,car
DT,0,0%,132,12.56%,109,24.55%,ChanNa00,Nate Chandler,car
NT,0,0%,315,29.97%,52,11.71%,EdwaRo20,Ron Edwards,car
NT,0,0%,251,23.88%,109,24.55%,FuaxSi00,Sione Fua,car
NT,0,0%,245,23.31%,17,3.83%,NeblAn00,Andre Neblett,car
LB,0,0%,262,24.93%,25,5.63%,BeasJo99,Jon Beason,car
LB,0,0%,520,49.48%,120,27.03%,AndeJa21,James Anderson,car
LB,0,0%,921,87.63%,83,18.69%,KuecLu00,Luke Kuechly,car
LB,0,0%,100,9.51%,68,15.32%,ApplAn99,Antwan Applewhite,car
LB,0,0%,106,10.09%,11,2.48%,KeisTh00,Thomas Keiser,car
LB,0,0%,110,10.47%,250,56.31%,PhilJa99,Jason Phillips,car
LB,0,0%,0,0%,74,16.67%,OnatKe00,Kenny Onatolu,car
LB,0,0%,4,.38%,293,65.99%,SennJo00,Jordan Senn,car
LB,0,0%,10,.95%,83,18.69%,WillJa95,Jason Williams,car
LB,0,0%,778,74.02%,68,15.32%,DaviTh20,Thomas Davis,car
LB,0,0%,0,0%,146,32.88%,HoguDo01,Doug Hogue,car
CB,0,0%,280,26.64%,26,5.86%,GambCh20,Chris Gamble,car
CB,0,0%,771,73.36%,126,28.38%,NormJo01,Josh Norman,car
CB,0,0%,914,86.96%,147,33.11%,MunnCa99,Captain Munnerlyn,car
